,cms_zone,num_trips,num_walk_trips,num_transit_trips,num_bike_trips,num_taxi_trips,num_tnc_trips,num_complete_weekend_days,num_complete_weekdays,first_travel_date,last_travel_date,made_trips,smartphone_type,age,employment,worker,student,license,vehicle,congestion,drive_cbd_freq,planning_apps,job_type,jobs_count,industry,telework_freq,work_cms_zone,missing_work_location,work_mode,missing_school_location,bike_freq,bike_stolen,no_bike_nyc_bike_lanes,no_bike_nyc_paving,no_bike_nyc_storage,no_bike_nyc_long_trips,no_bike_nyc_showers,no_bike_nyc_modes,no_bike_nyc_unable,no_bike_nyc_other,bike_share_citi_bike,bike_share_jump,bike_share_lime,bike_share_none,bike_share_user,no_bike_share_unfamiliar,no_bike_share_expensive,no_bike_share_neighborhood,no_bike_share_stations,no_bike_share_personal_bike,no_bike_share_docks,no_bike_share_uncomfortable,no_bike_share_other,tnc_use_uber,tnc_use_lyft,tnc_use_via,tnc_use_juno,tnc_use_none,tnc_user,tnc_freq,tnc_purpose,tnc_mode,car_share_zipcar,car_share_car2go,car_share_enterprise,car_share_other,car_share_none,car_share_user,packages,harassment,gender,education,english_proficiency,ethnicity,race_american_indian,race_asian,race_black,race_native_hawaiian,race_white,race_other,disability_hearing,disability_seeing,disability_walking,disability_mobility,disability_dressing,disability_concentrating,disability_none,license-9998,license999,tnc_user-9998,tnc_user999,tnc_use_-9998,tnc_use_999,bike_-9998,bike_999,no_bike_nyc_-9998,no_bike_nyc_999,bike_share_-9998,bike_share_999,disability_-9998,disability_999,no_bike_share_-9998,no_bike_share_999,race_-9998,race_999
0,Inner Brooklyn,23.0,1.0,3.0,11.0,0.0,0.0,2.0,5.0,06/24/2019,06/30/2019,1.0,1,5,6,0,1,1,1,4,7,1,995,0,995,995,Manhattan Core,0,995,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,4,4,1,5,1,997,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Middle Queens,15.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,05/29/2019,06/04/2019,1.0,2,5,2,1,2,0,1,4,8,3,1,1,8,8,Manhattan Core,0,100,1,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,1,105,0,0,0,0,1,0,1,4,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Middle Queens,30.0,22.0,9.0,0.0,0.0,0.0,2.0,5.0,06/06/2019,06/12/2019,1.0,2,7,7,1,0,0,995,2,995,3,1,1,15,8,Manhattan Core,1,105,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,2,4,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Middle Queens,48.0,23.0,13.0,0.0,0.0,0.0,2.0,2.0,06/16/2019,06/22/2019,1.0,2,6,1,1,0,1,1,3,7,1,1,1,16,7,Manhattan Core,0,105,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,2,4,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Middle Queens,45.0,13.0,6.0,12.0,0.0,2.0,2.0,5.0,06/08/2019,06/14/2019,1.0,2,5,1,1,2,1,995,3,995,1,2,1,13,7,Inner Queens,0,103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,6,50,105,0,0,0,0,1,0,7,4,1,6,1,997,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Outer Queens,16.0,5.0,9.0,0.0,0.0,2.0,1.0,4.0,06/14/2019,06/20/2019,1.0,1,5,1,1,1,0,995,1,995,2,1,2,8,2,Manhattan Core,0,102,0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4,1,102,0,0,0,1,0,1,5,4,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Manhattan Core,27.0,24.0,1.0,0.0,1.0,0.0,1.0,5.0,06/09/2019,06/15/2019,1.0,1,4,1,1,0,1,995,3,995,5,1,1,9,7,Manhattan Core,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,6,4,2,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Northern Bronx,18.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,06/04/2019,06/10/2019,1.0,1,6,1,1,0,1,1,1,7,1,1,1,14,3,Northern Bronx,0,100,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7,1,100,0,0,0,0,1,0,2,4,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Northern Bronx,22.0,14.0,2.0,0.0,0.0,0.0,2.0,3.0,06/08/2019,06/14/2019,1.0,1,9,6,0,0,1,1,2,8,4,995,0,995,995,Manhattan Core,0,995,0,5,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,1,4,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Northern Bronx,56.0,12.0,12.0,0.0,11.0,2.0,2.0,3.0,06/04/2019,06/10/2019,1.0,1,5,3,1,2,1,997,4,2,2,4,1,12,995,Upper Manhattan,0,106,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,1,0,1,8,4,2,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Northern Bronx,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,06/07/2019,06/13/2019,0.0,1,5,6,0,0,1,995,5,995,4,995,0,995,995,Manhattan Core,0,995,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4,7,105,0,0,0,0,1,0,2,4,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Northern Manhattan,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,05/28/2019,06/03/2019,1.0,2,5,1,1,0,1,995,2,995,4,1,1,5,8,Manhattan Core,1,105,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,5,106,0,0,0,0,1,0,1,4,2,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Outer Brooklyn,56.0,18.0,6.0,18.0,0.0,1.0,1.0,3.0,06/05/2019,06/11/2019,1.0,2,6,6,0,0,1,1,1,7,1,995,0,995,995,Manhattan Core,0,995,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,5,106,0,0,0,0,1,0,1,4,2,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Staten Island,46.0,2.0,8.0,0.0,0.0,0.0,2.0,5.0,06/02/2019,06/08/2019,1.0,2,9,2,1,0,1,1,3,7,7,3,1,4,995,Manhattan Core,0,995,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,2,4,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Inner Brooklyn,16.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,06/22/2019,06/28/2019,1.0,2,7,1,1,0,1,1,4,8,7,1,1,7,8,Outer Queens,0,100,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7,7,100,0,0,0,0,1,0,5,2,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Inner Brooklyn,65.0,42.0,24.0,0.0,0.0,1.0,1.0,4.0,06/22/2019,06/28/2019,1.0,2,5,1,1,0,1,995,1,995,4,2,1,14,4,Inner Queens,0,105,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,6,2,105,1,0,0,0,0,1,1,1,1,7,1,997,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Inner Brooklyn,58.0,15.0,43.0,0.0,0.0,0.0,2.0,5.0,06/24/2019,06/30/2019,1.0,1,6,1,1,0,0,995,2,995,1,2,2,8,1,Manhattan Core,0,105,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,2,4,1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Inner Brooklyn,46.0,2.0,10.0,7.0,0.0,0.0,2.0,2.0,06/22/2019,06/28/2019,1.0,2,7,3,1,0,1,1,2,6,-9998,1,2,9,5,Manhattan Core,0,104,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,100,0,0,0,0,1,0,-9998,-9998,2,-9998,-9998,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Inner Brooklyn,25.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,06/24/2019,06/30/2019,1.0,1,8,6,0,0,1,1,2,7,8,995,0,995,995,Manhattan Core,0,995,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,6,4,2,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Inner Brooklyn,29.0,28.0,8.0,0.0,0.0,0.0,2.0,5.0,06/21/2019,06/27/2019,1.0,2,6,2,1,1,1,995,2,995,1,2,3,7,3,Manhattan Core,0,105,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,6,1,106,0,0,0,0,1,0,1,4,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Manhattan Core,25.0,25.0,2.0,0.0,0.0,0.0,2.0,5.0,06/21/2019,06/27/2019,1.0,1,4,1,1,0,0,995,1,995,5,1,1,16,7,Manhattan Core,0,1,0,5,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,60,106,0,0,0,0,1,0,3,4,4,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Manhattan Core,7.0,2.0,5.0,0.0,0.0,0.0,1.0,5.0,06/21/2019,06/27/2019,1.0,1,5,1,1,0,1,995,1,995,1,1,1,7,7,Manhattan Core,0,105,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,1,0,3,4,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Manhattan Core,36.0,29.0,9.0,0.0,0.0,1.0,1.0,5.0,06/22/2019,06/28/2019,1.0,2,5,1,1,0,1,995,2,995,1,1,1,16,6,Manhattan Core,0,105,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,106,0,0,0,0,1,0,7,4,1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Manhattan Core,18.0,3.0,13.0,0.0,0.0,0.0,0.0,5.0,06/22/2019,06/28/2019,1.0,2,8,3,1,0,1,995,1,995,4,2,1,4,4,Manhattan Core,0,105,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,4,2,105,1,1,1,0,0,1,2,4,1,6,1,997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
